Lower Argyle	Nova Scotia	Canada	43.733333	-65.833333	251	80
Rockland	Nova Scotia	Canada	43.7336	-65.0764	25	81
Wedgeport	Nova Scotia	Canada	43.735176	-65.980349	1071	82
Jordan Ferry	Nova Scotia	Canada	43.740432	-65.238346	64	83
Birchtown	Nova Scotia	Canada	43.7444	-65.3825	176	84
Louis Head	Nova Scotia	Canada	43.75	-65.0169	15	85
Allendale	Nova Scotia	Canada	43.7508	-65.0925	90	86
Upper Wedgeport	Nova Scotia	Canada	43.75564796	-65.98837389	301	87
Central Argyle	Nova Scotia	Canada	43.7564629	-65.83815	119	88
Cheboque Point	Nova Scotia	Canada	43.761398	-66.115889	81	89
Shelburne	Nova Scotia	Canada	43.7632855	-65.3235168	1644	90
Reids Hill	Nova Scotia	Canada	43.7658	-65.3479	66	91
Surette's Island	Nova Scotia	Canada	43.766667	-65.933333	92	92
East Jordan	Nova Scotia	Canada	43.7667	-65.2158	111	93
Morris Island	Nova Scotia	Canada	43.768473	-65.9287669	89	94
Rockville	Nova Scotia	Canada	43.775177	-66.112829	254	95
East Sable River	Nova Scotia	Canada	43.775499	-65.003404	18	96
Canada Hill	Nova Scotia	Canada	43.7762875	-65.1114382	16	97
Jordan Branch	Nova Scotia	Canada	43.78	-65.262	201	98
Kelleys Cove	Nova Scotia	Canada	43.783232	-66.121972	107	99
Melbourne	Nova Scotia	Canada	43.783333	-66.05	391	100
Roberts Island	Nova Scotia	Canada	43.7844	-65.8871	32	101
Sluice Point	Nova Scotia	Canada	43.7852	-65.9568	299	102
Central Chebogue	Nova Scotia	Canada	43.79047762	-66.08575131	246	103
Glenwood	Nova Scotia	Canada	43.793021	-65.882923	56	104
Argyle	Nova Scotia	Canada	43.79365	-65.855	8	105
West Middle Sable	Nova Scotia	Canada	43.793701	-65.018257	39	106
Sand Beach	Nova Scotia	Canada	43.799641	-66.1303949	191	107
Port L'Hebert	Nova Scotia	Canada	43.8016	-64.9333	25	108
Cape Fourchu	Nova Scotia	Canada	43.806981	-66.158587	73	109
Amiraults Hill	Nova Scotia	Canada	43.8122	-65.9808	320	110
East Side Port L'Hebert	Nova Scotia	Canada	43.8137	-64.9203	71	111
Sable River West	Nova Scotia	Canada	43.814093	-65.043624	97	112
Argyle Head	Nova Scotia	Canada	43.816667	-65.85	79	113
Jordan Falls	Nova Scotia	Canada	43.8167	-65.2333	210	114
Lower Eel Brook	Nova Scotia	Canada	43.817326	-65.907444	195	115
Arcadia	Nova Scotia	Canada	43.8249	-66.0735	716	116
Rocco Point	Nova Scotia	Canada	43.8278283	-65.9278649	38	117
Lower Welshtown	Nova Scotia	Canada	43.833333	-65.3833329	78	118
Abrams River	Nova Scotia	Canada	43.835341	-65.949016	120	119
Welshtown	Nova Scotia	Canada	43.8358	-65.3868	33	120
Ste. Anne Du Ruisseau	Nova Scotia	Canada	43.8375	-65.9342	109	121
Yarmouth	Nova Scotia	Canada	43.8378563	-66.1197201	6829	122
Lower Ohio	Nova Scotia	Canada	43.838	-65.365	172	123
Sable River	Nova Scotia	Canada	43.841	-65.0641	81	124
Overton	Nova Scotia	Canada	43.844845	-66.141836	309	125
Belleville South	Nova Scotia	Canada	43.848502	-65.91508	97	126
Pleasant Lake	Nova Scotia	Canada	43.849778	-66.011893	201	127
Milton Highlands	Nova Scotia	Canada	43.851891	-66.122203	320	128
Brooklyn Trailer Court	Nova Scotia	Canada	43.8542572	-66.082102	73	129
Tusket	Nova Scotia	Canada	43.8556	-65.9744	337	130
Prospect Trailer Court	Nova Scotia	Canada	43.858788	-66.084254	70	131
Greenville	Nova Scotia	Canada	43.861272	-66.048934	110	132
Port Joli	Nova Scotia	Canada	43.865	-64.8706	75	133
Brooklyn	Nova Scotia	Canada	43.86544932	-66.07477571	599	134
Belleville	Nova Scotia	Canada	43.867061	-65.933955	91	135
South Chegoggin	Nova Scotia	Canada	43.86810612	-66.12243653	170	136
Dayton	Nova Scotia	Canada	43.869352	-66.107362	418	137
Belleville North	Nova Scotia	Canada	43.871053	-65.948849	73	138
Bell Neck	Nova Scotia	Canada	43.872368	-65.915497	38	139
Pembroke	Nova Scotia	Canada	43.87534852	-66.15871561	272	140
North Chegoggin	Nova Scotia	Canada	43.882119	-66.123199	156	141
Tusket Falls	Nova Scotia	Canada	43.883333	-65.983333	46	142
Chegoggin	Nova Scotia	Canada	43.8844	-66.1082	95	143
Hebron	Nova Scotia	Canada	43.887476	-66.090388	666	144
Summerville	Nova Scotia	Canada	43.89015281	-66.00987566	59	145
Upper Clyde River	Nova Scotia	Canada	43.8969	-65.4576	46	146
Gavelton	Nova Scotia	Canada	43.897628	-65.947522	91	147
South West Port Mouton	Nova Scotia	Canada	43.8989	-64.8164	189	148
Deception Lake	Nova Scotia	Canada	43.9006095	-65.3764385	21	149
